AAAS
AARS
AARS2
ABCB7
ABCD1
ABHD12
ACBD5
ACO2
ACOX2
ACP33
ADAM22
ADCK3
ADD3
ADSL
AFG3L2
AHI1
AIFM1
AIMP1
AIRE
ALDH18A1
ALDH3A2
ALDH5A1
ALDP
ALG13
ALG6
ALS2
ALS4
ALS5
AMACR
AMPD2
ANO3
ANO10
AP1S2
AP3B2
AP4B1
AP4E1
AP4M1
AP4S1
AP5Z1
APOB
APOE
APOPT1
APOPT1
APP
APTX
ARG1
ARL13B
ARL6IP1
ARMC9
ARSA
ARSI
ARV1
ARX
ASL
ASS1
ATCAY
ATG5
ATL1
ATM
ATN1
ATP13A2
ATP1A2
ATP1A3
ATP2B2
ATP2B3
ATP5A1
ATP5E
ATP6
ATP6AP2
ATP7B
ATP8A2
ATPAF2
ATR
ATRX
ATXN1
ATXN10
ATXN2
ATXN3
ATXN7
ATXN8
AUH
B4GALNT1
B9D1
B9D2
BCKDHB
BCS1L
BEAN
BRAT1
BSCL2
BSN
BTD
C12orf65
C19orf12
C5orf42
C9ORF72
CA8
CACNA1A
CACNA1G
CACNB4
CAMTA1
CAPN1
CASK
CAV1
CC2D2A
CCDC88C
CCT5
CDKL5
CECR1
CEP104
CEP120
CEP290
CEP41
CHAMP1
CHCHD10
CHMP1A
CHP1
CIZ1
CLCN2
CLN3
CLN5
CLN6
CLN8
CLP1
CLPB
CLPP
CNPY3
CNTN1
COA5
COA7
COG4
COL18A1
COL6A3
COQ2
COQ4
COQ5
COQ6
COQ8A
COQ9
CO2
COX10
COX10
COX14
COX15
COX20
COX6B1
CP
CPLX1
CPS1
CPT1C
CREBBP
CSPP1
CSTB
CTBP1
CTC1
CTDP1
CTSA
CTSD
CTSF
CUL4B
CWF19L1
CYP27A1
CYP2U1
CYP7B1
DARS2
DBT
DCAF8
DCTN1
DCX
DDHD1
DDHD2
DENND5A
DGAT2
DKC1
DLAT
DLD
DMXL2
DNAJC19
DNAJC3
DNAJC5
DNM1
DNM1L
DNM2
DNMT1
DOCK3
DOCK7
DPM1
DRD3
DRP2
DSTYK
DYNC1H1
DYRK1A
EBF3
EEF1A2
EEF2
EGR2
EIF2B1
EIF2B2
EIF2B3
EIF2B4
